score,axis1,group1,axis2,group2,subgroup,auroc,auprc,brier,cal_slope,cal_intercept,n,prevalence,auroc_ci_lo,auroc_ci_hi
sofa,race_cat,White,sex,Female,White x Female,0.726510989010989,0.2534213379516685,0.08301783157020227,1.0803798600756445,0.026527593506974242,404,0.09900990099009901,0.6408319321710664,0.7951052020286408
sofa,race_cat,White,sex,Male,White x Male,0.70859375,0.21580994524561778,0.08175527198552333,1.0234946788603871,-0.0009634063147219013,567,0.09700176366843033,0.6316233036207668,0.7822732309204208
sofa,race_cat,White,age_group,70-79,White x 70-79,0.6868197278911565,0.260695791394419,0.09750327760319662,1.3960326721771297,-0.01324805678704885,238,0.11764705882352941,0.5907840375586855,0.7771917545015371
sofa,race_cat,White,age_group,60-69,White x 60-69,0.7149797570850203,0.20737415319458663,0.056159719015986334,1.1752206740480367,-0.052593052172049876,203,0.06403940886699508,0.5572585151392999,0.8520688641948926
sofa,race_cat,White,age_group,50-59,White x 50-59,0.7776747062461348,0.4240603677568182,0.05659131211155942,1.0931946519511486,-0.03867660919934128,158,0.06962025316455696,0.6027980632343048,0.915828043437733
sofa,race_cat,White,age_group,80+,White x 80+,0.6842751842751842,0.29525981787201366,0.14374237337454396,1.325693252728631,0.06854498485306607,213,0.17370892018779344,0.5815245559264576,0.7733590733590733
sofa,race_cat,White,diag_type,Medical,White x Medical,0.7071477922241065,0.23370296901044013,0.08872026070611821,1.058287277049267,0.011869839691510883,819,0.10622710622710622,0.6521680621476611,0.7590755008974511
sofa,race_cat,White,diag_type,Cardiac,White x Cardiac,0.7820197044334976,0.15105135519882065,0.053681664926142535,0.5685705237570479,0.02084653833271405,123,0.056910569105691054,0.5973220921590486,0.9138059976422045
sofa,sex,Female,age_group,70-79,Female x 70-79,0.6249190938511328,0.2439726590119075,0.1093062886928077,0.6678819711625598,0.06630393097371243,118,0.1271186440677966,0.46023977987421383,0.7798860398860396
sofa,sex,Female,age_group,60-69,Female x 60-69,0.670625,0.14754092925048806,0.0684892391173585,0.7126112940844468,0.0098960866745611,108,0.07407407407407407,0.49499299719887957,0.8451229996949274
sofa,sex,Female,age_group,80+,Female x 80+,0.7583120204603581,0.33364630570046655,0.1245862092007258,1.504986630790392,0.04239919992116825,109,0.1559633027522936,0.6273433806146572,0.8670204975316719
sofa,sex,Male,age_group,70-79,Male x 70-79,0.7010752688172043,0.25545726684159314,0.09800396991584631,1.0078911747787958,-0.00042395716755325163,176,0.11931818181818182,0.577328003169418,0.8115727834817349
sofa,sex,Male,age_group,60-69,Male x 60-69,0.775,0.24800372188688075,0.04733777629902069,1.0996260550162722,-0.06858901625268052,148,0.05405405405405406,0.5225736065328139,0.9581949300699301
sofa,sex,Male,age_group,50-59,Male x 50-59,0.7425474254742548,0.3645124206527715,0.055255359776119485,0.7567785444660154,-0.012969167023443723,132,0.06818181818181818,0.5235340113735784,0.9008909698394544
sofa,sex,Male,age_group,80+,Male x 80+,0.6691626957113682,0.325395379465814,0.1533373573994151,1.4287825114353176,0.07325208692889743,139,0.18705035971223022,0.5393065749235475,0.7889719202898551
sofa,sex,Female,diag_type,Medical,Female x Medical,0.7225309574146783,0.2396122550783589,0.08398621379217848,1.070665169018595,0.016657936375455082,428,0.10046728971962617,0.6523739862697677,0.7984654397235852
sofa,sex,Male,diag_type,Medical,Male x Medical,0.7009193820751767,0.2254428763850129,0.08234659818483615,0.9195690356671592,0.0042776848771617915,601,0.09816971713810316,0.6288693017764616,0.7720731498855716
sofa,sex,Male,diag_type,Cardiac,Male x Cardiac,0.796474358974359,0.1904761904761905,0.0525985633399372,0.5297879316054486,0.014265856476841143,110,0.05454545454545454,0.60791163003663,0.9476304884500089
sofa,age_group,70-79,diag_type,Medical,70-79 x Medical,0.6612471846846848,0.2329689532502003,0.1058051319331286,0.9712781949565987,0.016805985467224283,254,0.12598425196850394,0.5532316479222464,0.7732975418646943
sofa,age_group,60-69,diag_type,Medical,60-69 x Medical,0.6900691900691901,0.17578864072732522,0.058616339581734504,0.7792963521758945,-0.01946525197448322,202,0.06435643564356436,0.5334443933823529,0.8264109848484847
sofa,age_group,50-59,diag_type,Medical,50-59 x Medical,0.766552511415525,0.48250783364193134,0.05656432167092984,0.9890113846413262,-0.024749467328466723,158,0.0759493670886076,0.601016988266057,0.9030775065309204
sofa,age_group,80+,diag_type,Medical,80+ x Medical,0.6913713627196774,0.31258132066906447,0.14675951908439233,1.488444809880577,0.04582735330422519,217,0.17972350230414746,0.5929853193681318,0.7777730907703282
qsofa,race_cat,White,sex,Female,White x Female,0.6722527472527473,0.15929817069918673,0.08574852500795338,1.0691798388365445,0.0021714097416322548,404,0.09900990099009901,0.5861361544798229,0.7449250556327914
qsofa,race_cat,White,sex,Male,White x Male,0.6755859375,0.14580932637395141,0.08442088255432297,1.1014954459576691,-0.008476682538115399,567,0.09700176366843033,0.6191327832904505,0.7325425614323811
qsofa,race_cat,White,age_group,70-79,White x 70-79,0.6693877551020408,0.1778622516200156,0.09999323351857098,1.1846322751435625,0.002984093754260425,238,0.11764705882352941,0.5767617999096657,0.7580256435929955
qsofa,race_cat,White,age_group,60-69,White x 60-69,0.6534412955465587,0.09699299661576191,0.059637573903498796,0.7015998450154243,0.0015533785707193132,203,0.06403940886699508,0.530232329842932,0.7853802145609141
qsofa,race_cat,White,age_group,50-59,White x 50-59,0.6963512677798391,0.11579247625759254,0.06309901501854245,0.959114283942106,-0.022319946424043835,158,0.06962025316455696,0.5759467881112177,0.8222570731800863
qsofa,race_cat,White,age_group,80+,White x 80+,0.6569410319410319,0.25129644123996664,0.14302060955955517,1.7633330372835458,0.006285751954350383,213,0.17370892018779344,0.5800733261670762,0.7374779982698415
qsofa,race_cat,White,diag_type,Medical,White x Medical,0.6712832108535896,0.16101190701315143,0.09145264214601609,1.1390328257215103,-0.0007938423123931004,819,0.10622710622710622,0.625017152796104,0.7180642360996616
qsofa,race_cat,White,diag_type,Cardiac,White x Cardiac,0.6674876847290641,0.08761904761904762,0.0538171035401252,0.7589337142269305,-0.015043623520373486,123,0.056910569105691054,0.49147469008264466,0.834276188371016
qsofa,sex,Female,age_group,70-79,Female x 70-79,0.6656957928802589,0.19747513612461667,0.10706657703281888,1.0854264070481514,0.02168077035814399,118,0.1271186440677966,0.5233528543107983,0.795173115657154
qsofa,sex,Female,age_group,60-69,Female x 60-69,0.56375,0.08511318367786391,0.07014517501016858,0.32686034141206305,0.04078206939861388,108,0.07407407407407407,0.37770913461538463,0.761896961754999
qsofa,sex,Female,age_group,80+,Female x 80+,0.6432225063938618,0.22498071132557385,0.13005370522710882,1.3326875122675967,0.033729866150170096,109,0.1559633027522936,0.48171783625730996,0.775976800976801
qsofa,sex,Male,age_group,70-79,Male x 70-79,0.6035330261136713,0.14621812965288286,0.10432382732060409,0.8002241620447367,0.03230910874173713,176,0.11931818181818182,0.5117353669591116,0.7009366674467166
qsofa,sex,Male,age_group,60-69,Male x 60-69,0.75,0.11359126984126984,0.050004308782494504,0.9683723574687289,-0.03030590588390656,148,0.05405405405405406,0.608548632218845,0.8732274899396378
qsofa,sex,Male,age_group,50-59,Male x 50-59,0.6616982836495031,0.10917002303140917,0.0628133901031024,0.7273625027743013,0.003995441239273798,132,0.06818181818181818,0.4749146341463415,0.8142027649949912
qsofa,sex,Male,age_group,80+,Male x 80+,0.6769911504424778,0.275,0.1517957111433079,2.2768332246080742,-0.04629038688416484,139,0.18705035971223022,0.5816805555555555,0.7772930272152059
qsofa,sex,Female,diag_type,Medical,Female x Medical,0.6719118091211114,0.15883914579850245,0.08691522007315047,1.0566635944104008,0.0023757886016947255,428,0.10046728971962617,0.5861765257471596,0.7447911395074224
qsofa,sex,Male,diag_type,Medical,Male x Medical,0.6615954718869222,0.14110871386981358,0.08587083651358879,0.9802189546999485,0.002638253270717497,601,0.09816971713810316,0.6007484641657304,0.7156464566308728
qsofa,sex,Male,diag_type,Cardiac,Male x Cardiac,0.6217948717948718,0.07173382173382173,0.052962024720122444,0.5567313794788653,-0.003934619946689033,110,0.05454545454545454,0.4666666666666667,0.8276323260073261
qsofa,age_group,70-79,diag_type,Medical,70-79 x Medical,0.6392877252252253,0.16984167148640833,0.10759196159160177,1.0335622728179317,0.01945266694662154,254,0.12598425196850394,0.5589252182115777,0.7230986855924367
qsofa,age_group,60-69,diag_type,Medical,60-69 x Medical,0.6420431420431421,0.09115422831353479,0.060499541047071975,0.5977939277581387,0.007885026517725179,202,0.06435643564356436,0.5084582247817542,0.765482499602679
qsofa,age_group,50-59,diag_type,Medical,50-59 x Medical,0.6835045662100456,0.12910683489951782,0.06807608125802225,0.9198794258464047,-0.005819282493986153,158,0.0759493670886076,0.52728755138419,0.8182291666666667
qsofa,age_group,80+,diag_type,Medical,80+ x Medical,0.6495966580236242,0.251069241391822,0.14784917531648784,1.703678728433761,0.01202494373345625,217,0.17972350230414746,0.5618551663457512,0.7341141037446285
apache2,race_cat,White,sex,Female,White x Female,0.7512362637362636,0.20493507350069748,0.08386162195863422,0.9110264035275083,0.005318562346352251,404,0.09900990099009901,0.6808153178325153,0.8102809590444625
apache2,race_cat,White,sex,Male,White x Male,0.7403409090909092,0.28577888479114755,0.08017853392369381,0.9763734515294189,0.008615117090095131,567,0.09700176366843033,0.6732140063693649,0.799555368973485
apache2,race_cat,White,age_group,70-79,White x 70-79,0.7749149659863945,0.31878973616330375,0.09216622569151842,1.1896780495177495,-0.010022141519128086,238,0.11764705882352941,0.6978972506039042,0.850350380001614
apache2,race_cat,White,age_group,60-69,White x 60-69,0.7591093117408907,0.1691547721875839,0.0572969027197998,0.8441774842785295,-0.01362817545715897,203,0.06403940886699508,0.6113164893617021,0.8636742726185731
apache2,race_cat,White,age_group,50-59,White x 50-59,0.7479901051329623,0.26272715379858236,0.06027985362897984,0.8233395535147946,0.00591118233858641,158,0.06962025316455696,0.5989278791639852,0.898440686911744
apache2,race_cat,White,age_group,80+,White x 80+,0.6275337837837838,0.23658600883875175,0.1459160208867825,0.6158783139539841,0.10961806019378646,213,0.17370892018779344,0.5366733818294634,0.7127229077816549
apache2,race_cat,White,diag_type,Medical,White x Medical,0.7509971107342504,0.23653394647472972,0.08806087014387746,0.9765270786508954,0.013818742462064174,819,0.10622710622710622,0.7085427340284992,0.7939655021528337
apache2,race_cat,White,diag_type,Cardiac,White x Cardiac,0.6280788177339902,0.12828464719221022,0.05467226122921752,0.5788725256756947,0.010707642517655179,123,0.056910569105691054,0.363762315270936,0.8723240299761871
apache2,sex,Female,age_group,70-79,Female x 70-79,0.7456310679611651,0.2554006998171758,0.10301859950768633,1.038157742840556,0.0009402727900442442,118,0.1271186440677966,0.6120793269230769,0.8461717739980607
apache2,sex,Female,age_group,60-69,Female x 60-69,0.7706250000000001,0.2098753126541253,0.06429977636978956,0.8513575518846249,-0.0004897497358122282,108,0.07407407407407407,0.5995047169811321,0.9205177993527508
apache2,sex,Female,age_group,80+,Female x 80+,0.632992327365729,0.2362792528491406,0.13105940948278239,0.6336707390386026,0.08488447103960628,109,0.1559633027522936,0.5125335758165639,0.7526184662493097
apache2,sex,Male,age_group,70-79,Male x 70-79,0.7734254992319508,0.42589257561965776,0.09122353865471707,1.382712282294301,-0.024922277881185673,176,0.11931818181818182,0.6685867895545314,0.8705428878003748
apache2,sex,Male,age_group,60-69,Male x 60-69,0.8133928571428573,0.24202846165066605,0.04808543130214123,0.9159627191254985,-0.032292072308802634,148,0.05405405405405406,0.6488354846014492,0.9438924306424696
apache2,sex,Male,age_group,50-59,Male x 50-59,0.7583559168925023,0.1938619167417302,0.05969099155894294,0.9128051122517462,0.0010368290038125783,132,0.06818181818181818,0.5937142857142856,0.9067883731520311
apache2,sex,Male,age_group,80+,Male x 80+,0.6596324029952348,0.3094287419748132,0.15190183085235653,1.0339102619327538,0.08202071641392736,139,0.18705035971223022,0.5349231634182909,0.7648460674493748
apache2,sex,Female,diag_type,Medical,Female x Medical,0.762247055270311,0.20997113810277765,0.08410672898955347,0.8734998887683186,0.006758314277341457,428,0.10046728971962617,0.7049725321313586,0.8160060743822936
apache2,sex,Male,diag_type,Medical,Male x Medical,0.756723372318469,0.2584846539861712,0.08110148136828302,0.9982822190921687,0.006482376791961689,601,0.09816971713810316,0.6974210765059258,0.8131430922085692
apache2,sex,Male,diag_type,Cardiac,Male x Cardiac,0.7075320512820513,0.1965815830438728,0.050614650583974644,0.8320355132770978,0.0007100099538491778,110,0.05454545454545454,0.4340191366266133,0.9340908069734004
apache2,age_group,70-79,diag_type,Medical,70-79 x Medical,0.7601351351351351,0.3133232193788365,0.0993372609656946,1.1073769891922003,-0.0022105911719420557,254,0.12598425196850394,0.6726721247146118,0.8388377033099117
apache2,age_group,60-69,diag_type,Medical,60-69 x Medical,0.8121693121693122,0.19814244319792818,0.056115161118459385,0.962835419921464,-0.01994459362888039,202,0.06435643564356436,0.6947687373075974,0.8989342035786531
apache2,age_group,50-59,diag_type,Medical,50-59 x Medical,0.7910958904109588,0.2996324339402952,0.06241867497391204,1.1037333855482045,-0.01594023093001641,158,0.0759493670886076,0.657591701735997,0.9136216101779016
apache2,age_group,80+,diag_type,Medical,80+ x Medical,0.6125756266205705,0.23396913589893736,0.15016035356292876,0.5386792852779752,0.12900292908511884,217,0.17972350230414746,0.5154425604955075,0.6969473790088431
news2,race_cat,White,sex,Female,White x Female,0.7679601648351648,0.2532952369018566,0.08152946677550423,1.0549911131660725,-0.0022887915430857414,404,0.09900990099009901,0.6859934484865545,0.8402838258439673
news2,race_cat,White,sex,Male,White x Male,0.7333451704545455,0.29641419916253775,0.07840982966489458,0.9733490702338299,0.00624221168514702,567,0.09700176366843033,0.6670044568721518,0.7968343169463381
news2,race_cat,White,age_group,70-79,White x 70-79,0.717687074829932,0.3445864494323055,0.09005661363486356,1.4623453490290501,-0.028576024306101844,238,0.11764705882352941,0.6143947519872236,0.8200452921201314
news2,race_cat,White,age_group,60-69,White x 60-69,0.6836032388663967,0.14448183991715835,0.05965324952021852,0.6072491373529948,0.008571981593596789,203,0.06403940886699508,0.5338495600392571,0.8188131476683937
news2,race_cat,White,age_group,50-59,White x 50-59,0.8423005565862709,0.3615916247495195,0.056898119154653974,0.7361277553299806,-0.004300803868157968,158,0.06962025316455696,0.7461968482287853,0.9286651785714285
news2,race_cat,White,age_group,80+,White x 80+,0.7568335380835381,0.38649527299346165,0.13426900973373274,1.757885018633996,0.015120659824070376,213,0.17370892018779344,0.6655688881215469,0.8351117211440245
news2,race_cat,White,diag_type,Medical,White x Medical,0.7481628038439796,0.2700668801552396,0.08576072823579645,1.0725463360413454,0.006201858456889614,819,0.10622710622710622,0.6953824846784104,0.802770460054336
news2,race_cat,White,diag_type,Cardiac,White x Cardiac,0.7112068965517241,0.13888165286204124,0.05463168967482546,0.46435112522752764,0.007352902256112251,123,0.056910569105691054,0.5324805501528203,0.8624195075757576
news2,sex,Female,age_group,70-79,Female x 70-79,0.7391585760517799,0.32685694376018076,0.09851785588628499,1.4491602461337616,-0.028021851592980707,118,0.1271186440677966,0.564994822642311,0.8802930402930402
news2,sex,Female,age_group,60-69,Female x 60-69,0.6381249999999999,0.1292980457042957,0.07465255706636315,0.2265150925655762,0.05471094421887555,108,0.07407407407407407,0.4307391826923077,0.8320032419622455
news2,sex,Female,age_group,80+,Female x 80+,0.7691815856777493,0.3482991090663852,0.12057487740957709,1.4293946201856553,0.010950672330236805,109,0.1559633027522936,0.6528191489361702,0.8608809523809523
news2,sex,Male,age_group,70-79,Male x 70-79,0.7145929339477727,0.3178533909916515,0.09414982986641332,1.0686491773161146,0.009688425467534595,176,0.11931818181818182,0.5940645866754418,0.8189213447433481
news2,sex,Male,age_group,60-69,Male x 60-69,0.7419642857142857,0.2244517543859649,0.04702701644537653,0.8738720457964568,-0.02124997535297163,148,0.05405405405405406,0.5803493780233308,0.8996885470347127
news2,sex,Male,age_group,50-59,Male x 50-59,0.7488708220415538,0.25360150262718345,0.06010383732833059,0.6671595853006689,0.0005023323254995937,132,0.06818181818181818,0.5753796155149052,0.8856134102875596
news2,sex,Male,age_group,80+,Male x 80+,0.7547651463580668,0.44563974089230374,0.14005369381491645,1.978298653452388,0.002496635165241373,139,0.18705035971223022,0.6516594245126853,0.8549534522646778
news2,sex,Female,diag_type,Medical,Female x Medical,0.7658109332527938,0.2609525117123351,0.08133704792257693,1.1486801891588088,-0.009527428527829868,428,0.10046728971962617,0.6857572709768034,0.8332071452206213
news2,sex,Male,diag_type,Medical,Male x Medical,0.7402276565138532,0.24993456704389905,0.08080011015084516,0.9055493606062682,0.011593021691293767,601,0.09816971713810316,0.6807344291222797,0.795853090476867
news2,sex,Male,diag_type,Cardiac,Male x Cardiac,0.6041666666666666,0.2272911051212938,0.05157917122970263,0.3114476667178123,0.01820763233145186,110,0.05454545454545454,0.43029050989554707,0.8221183800623056
news2,age_group,70-79,diag_type,Medical,70-79 x Medical,0.7215653153153154,0.2967229501212512,0.0986225120162083,1.1753766770374083,0.001177954475607812,254,0.12598425196850394,0.6270896470644871,0.8180395080334218
news2,age_group,60-69,diag_type,Medical,60-69 x Medical,0.6385836385836385,0.10165465266532082,0.06415649971892984,0.3378952283298041,0.02977235056689067,202,0.06435643564356436,0.49408944720635833,0.770307343000642
news2,age_group,50-59,diag_type,Medical,50-59 x Medical,0.8401826484018264,0.3810119680998459,0.05936602977836043,0.9340449296109896,-0.020303864555041726,158,0.0759493670886076,0.7228574156935502,0.9345897331349917
news2,age_group,80+,diag_type,Medical,80+ x Medical,0.7581388648804378,0.392727761557138,0.1370725137746786,1.639075145930563,0.0271889321308737,217,0.17972350230414746,0.6732891351775693,0.8332453394630289
